"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.392120262E0,3.935288191E-1,-6.998395920E-1,2.151451111E-1,8.312206715E-1
1.400115867E0,-2.499425411E-2,-6.163673401E-1,-3.186330795E-1,6.943057324E-1
1.408111473E0,5.684306026E-1,-6.004571915E-1,1.240613461E-1,8.360941372E-1
1.416076561E0,4.802405834E-1,-4.370422363E-1,-3.526062965E-1,7.388965656E-1
1.424072166E0,4.038749933E-1,-2.573003769E-1,-5.163185596E-1,7.042040537E-1
1.432067772E0,2.850908041E-1,-8.014011383E-2,-5.740861893E-1,6.459676131E-1
1.440063377E0,9.046006203E-2,1.377048492E-1,-7.669520378E-1,7.844495373E-1
1.448058982E0,-3.131413460E-2,2.476701736E-1,-8.856991529E-1,9.202087152E-1
1.456054588E0,-4.745411873E-2,3.188514709E-1,-8.692967892E-1,9.271434957E-1
1.464050193E0,-2.178776264E-2,3.489427567E-1,-7.967209816E-1,8.700575134E-1
1.472045799E0,3.010165691E-2,3.358535767E-1,-6.352227926E-1,7.191743398E-1
1.480041404E0,-6.842362881E-2,3.325252533E-1,-4.360371828E-1,5.526149309E-1
1.488037010E0,-1.187220812E-1,3.440141678E-1,-2.124356031E-1,4.213900398E-1
1.496002098E0,-1.731461287E-1,3.586483002E-1,-2.072739601E-2,3.987954489E-1
1.503997703E0,-1.506414413E-1,3.383235931E-1,1.882498264E-1,4.154439730E-1
1.511993309E0,-1.826919317E-1,3.186597824E-1,3.202168941E-1,4.872979152E-1
1.519958397E0,-2.598257065E-1,3.376111984E-1,3.265235424E-1,5.367572475E-1
1.527984520E0,-3.799942732E-1,3.544321060E-1,3.101599216E-1,6.051586093E-1
1.535980125E0,-3.784921169E-1,3.545465469E-1,3.197264671E-1,6.092491693E-1
1.543975731E0,-3.247817755E-1,3.761615753E-1,3.053922653E-1,5.833053815E-1
1.551971336E0,-3.330464363E-1,3.283624649E-1,2.720470428E-1,5.410650891E-1
1.559966941E0,-2.601058483E-1,2.160806656E-1,3.624236584E-1,4.956781360E-1
1.567962547E0,-1.438889503E-1,7.039451599E-2,5.123307705E-1,5.367888191E-1
1.575927635E0,3.995811939E-2,-2.140445709E-1,7.076218128E-1,7.403650178E-1
1.583923240E0,2.394338846E-1,-5.217885971E-1,9.750516415E-1,1.131511215E0
1.591918846E0,3.529629707E-1,-7.948322296E-1,1.096304893E0,1.399366125E0
1.599883934E0,5.225043893E-1,-9.981136322E-1,1.079128742E0,1.560051442E0
1.607879539E0,5.187622905E-1,-1.055824280E0,8.889963627E-1,1.474514753E0
1.615905662E0,5.311878324E-1,-1.004041672E0,7.278010845E-1,1.349056934E0
1.623901268E0,6.005835533E-1,-8.286485672E-1,4.601068497E-1,1.122077255E0
1.631896873E0,4.907121658E-1,-6.277799606E-1,1.579508781E-1,8.123143410E-1
1.639892479E0,3.209584355E-1,-3.557863235E-1,-1.532199383E-1,5.030651795E-1
1.647857566E0,2.030858994E-1,-3.188323975E-2,-3.442358971E-1,4.009473486E-1
1.655883690E0,1.279867887E-1,1.666545868E-1,-5.150392056E-1,5.562551147E-1
1.663879295E0,1.060864925E-1,2.878942490E-1,-6.659730673E-1,7.332513681E-1
1.671874900E0,2.055972815E-1,2.723436356E-1,-8.015284538E-1,8.711424455E-1
1.679839988E0,2.252355814E-1,2.084732056E-1,-9.236835241E-1,9.733362201E-1
1.687835594E0,1.722889543E-1,1.369190216E-1,-8.477494717E-1,8.758478572E-1
1.695861717E0,1.242255569E-1,5.566787720E-2,-6.994105577E-1,7.125349323E-1
1.703857322E0,-8.061397076E-2,7.307243347E-2,-4.064909220E-1,4.208005020E-1
1.711852928E0,-2.219083309E-1,1.031446457E-1,-1.685574055E-1,2.971425991E-1
1.719818016E0,-4.045583010E-1,1.374349594E-1,-6.635283232E-1,7.891930199E-1
1.727813621E0,-4.883553982E-1,3.816442490E-1,-4.839632511E-1,7.863610851E-1
1.735839744E0,-5.905891657E-1,3.150911331E-1,1.631469727E-1,6.889810734E-1
1.743835350E0,-5.572159290E-1,2.816371918E-1,-9.158560038E-1,1.108422897E0
1.751830955E0,-6.789116859E-1,4.120912552E-1,-6.712841988E-2,7.970235283E-1
1.759796043E0,-7.451845407E-1,2.128543854E-1,2.161295414E-1,8.045613512E-1
1.767791649E0,-5.129045248E-1,9.316444397E-2,3.244376183E-1,6.140117534E-1
1.775817772E0,-2.593624592E-1,-1.791772842E-1,3.727703094E-1,4.881916509E-1
