"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.719602800E0,-8.802588284E-2,-6.530714035E-2,8.406257629E-2
1.729602800E0,-9.279745817E-2,-5.536460876E-2,9.230995178E-2
1.739602800E0,-7.887673378E-2,-3.804922104E-2,8.145618439E-2
1.749602800E0,-7.887673378E-2,-3.804922104E-2,8.145618439E-2
1.759602800E0,-3.736542165E-2,-2.617669106E-2,8.739662170E-2
1.769602800E0,-2.590189874E-2,-2.780747414E-2,9.337139130E-2
1.779602800E0,-1.436553895E-2,-3.884220123E-2,2.996826172E-2
1.789602800E0,9.765177965E-4,-1.962876320E-2,1.475391388E-1
1.799602800E0,9.765177965E-4,-1.962876320E-2,1.475391388E-1
1.809602800E0,9.765177965E-4,-1.962876320E-2,1.475391388E-1
1.819602800E0,1.319873333E-2,-2.044463158E-2,3.170013428E-3
1.829602800E0,3.694698215E-3,-4.239010811E-2,2.797698975E-2
1.839602800E0,-5.974352360E-3,-4.717159271E-2,1.182508469E-1
1.849602800E0,-5.974352360E-3,-4.717159271E-2,1.182508469E-1
1.859602800E0,9.717643261E-3,-4.423332214E-2,1.761360168E-1
1.869602800E0,-3.121435642E-3,-4.812669754E-2,8.499050140E-2
1.879602800E0,1.518025994E-3,-3.567552567E-2,4.542160034E-2
1.889602800E0,-1.282024384E-2,-2.549290657E-2,4.659366608E-2
1.899602800E0,-2.960510552E-2,-3.385329247E-2,6.949329376E-2
1.909602800E0,-1.361168921E-2,-6.618261337E-3,1.155366898E-1
1.919602800E0,7.267102599E-3,-9.733676910E-3,1.337738037E-1
1.929602800E0,6.759032607E-3,-8.236169815E-3,1.160526276E-1
1.939602800E0,9.136721492E-3,-1.718282700E-3,1.011180878E-1
1.949602800E0,9.136721492E-3,-1.718282700E-3,1.011180878E-1
1.959602800E0,-1.217204332E-2,-1.705932617E-2,1.097259521E-1
1.969602800E0,-2.639994025E-2,-1.559066772E-2,1.087703705E-1
1.979602800E0,-2.639994025E-2,-1.559066772E-2,1.087703705E-1
1.989602800E0,-2.639994025E-2,-1.559066772E-2,1.087703705E-1
1.999602800E0,-4.085142910E-2,-2.526617050E-2,5.741786957E-2
2.009602800E0,-2.908961475E-2,-5.137443542E-2,2.567005157E-2
2.019602800E0,-2.326472104E-2,-4.519248009E-2,3.185939789E-2
2.029602800E0,-2.326472104E-2,-4.519248009E-2,3.185939789E-2
2.039602800E0,-2.326472104E-2,-4.519248009E-2,3.185939789E-2
2.049602800E0,-3.913946450E-2,-5.313205719E-2,1.451730728E-1
2.059602800E0,-3.579677641E-2,-4.060697556E-2,2.007598877E-1
2.069602800E0,-3.579677641E-2,-4.060697556E-2,2.007598877E-1
2.079602800E0,-3.008060157E-2,-8.616685867E-3,1.456279755E-1
2.089602800E0,-2.266566455E-2,-8.356809616E-3,9.646415710E-2
2.099602800E0,-1.304224133E-2,1.157522202E-3,-2.768707275E-2
2.109602800E0,-2.755691111E-2,3.419399261E-3,-5.952739716E-2
2.119602800E0,-3.964434564E-2,8.901834488E-3,-1.533823013E-1
2.129602800E0,-4.851858318E-2,-1.342296600E-3,-9.906768799E-3
2.139602800E0,-4.471813142E-2,-4.637193680E-2,3.702487946E-1
2.149602800E0,-4.471813142E-2,-4.637193680E-2,3.702487946E-1
2.159602800E0,2.148066461E-2,-7.038378716E-2,4.088983536E-1
2.169602800E0,5.487905443E-2,-3.781795502E-2,1.702241898E-1
2.179602800E0,5.487905443E-2,-3.781795502E-2,1.702241898E-1
2.189602800E0,-2.226589620E-2,-7.755994797E-3,-3.093090057E-1
2.199602800E0,-4.889757931E-2,-4.547500610E-2,-1.487360001E-1
2.209602800E0,-5.563057959E-2,-7.304620743E-2,6.228256226E-2
2.219602800E0,-5.563057959E-2,-7.304620743E-2,6.228256226E-2
2.229602800E0,-5.563057959E-2,-7.304620743E-2,6.228256226E-2
2.239602800E0,6.714510173E-2,-1.511025429E-2,2.266864777E-1
2.249602800E0,6.054323912E-2,1.917958260E-2,9.563064575E-2
2.259602800E0,3.528699279E-3,6.316232681E-2,-1.034069061E-2
2.269602800E0,-2.883985639E-2,5.545830727E-2,1.281547546E-2
2.279602800E0,-2.369426191E-2,6.363511086E-2,6.510829926E-2
2.289602800E0,-2.369426191E-2,6.363511086E-2,6.510829926E-2
2.299602800E0,-2.369426191E-2,6.363511086E-2,6.510829926E-2
2.309602800E0,-2.726496756E-2,-5.391120911E-3,1.059026718E-1
2.319602800E0,-2.726496756E-2,-5.391120911E-3,1.059026718E-1
2.329602800E0,-6.623269618E-2,-5.956435204E-2,1.079111099E-1
2.339602800E0,-7.628834248E-2,-7.913446426E-2,1.071672440E-1
2.349602800E0,-8.072319627E-2,-8.572649956E-2,8.752346039E-2
2.359602800E0,-7.580022514E-2,-7.787275314E-2,9.902381897E-2
2.369602800E0,-7.580022514E-2,-7.787275314E-2,9.902381897E-2
2.379602800E0,-4.969879985E-2,-6.879925728E-2,1.334829330E-1
2.389602800E0,-3.290304542E-2,-6.342744827E-2,1.329879761E-1
2.399602800E0,-2.090051770E-2,-5.582809448E-2,1.252641678E-1
2.409602800E0,-6.577268243E-3,-3.364562988E-2,4.816913605E-2
2.419602800E0,-6.577268243E-3,-3.364562988E-2,4.816913605E-2
2.429602800E0,-3.820009530E-2,-4.508733749E-3,7.090854645E-2
2.439602800E0,-3.820009530E-2,-4.508733749E-3,7.090854645E-2
2.449602800E0,-4.999175668E-3,-4.121780396E-3,1.182403564E-1
2.459602800E0,2.292376757E-2,-3.131341934E-2,1.053733826E-1
2.469602800E0,2.292376757E-2,-3.131341934E-2,1.053733826E-1
2.479602800E0,2.292376757E-2,-3.131341934E-2,1.053733826E-1
2.489602800E0,2.604001015E-2,-2.400875092E-2,6.512260437E-2
2.499602800E0,8.780494332E-3,-2.853655815E-2,5.431270599E-2
2.509602800E0,8.671864867E-3,-3.016519547E-2,6.344699860E-2
2.519602800E0,8.671864867E-3,-3.016519547E-2,6.344699860E-2
2.529602800E0,8.671864867E-3,-3.016519547E-2,6.344699860E-2
2.539602800E0,8.671864867E-3,-3.016519547E-2,6.344699860E-2
2.549602800E0,-6.448000669E-3,2.113890648E-2,1.198787689E-1
2.559602800E0,5.471363664E-3,2.108955383E-2,1.102886200E-1
2.569602800E0,5.471363664E-3,2.108955383E-2,1.102886200E-1
2.579602800E0,8.447468281E-4,-4.764556885E-3,7.450771332E-2
2.589602800E0,-4.073426127E-3,-9.017944336E-3,7.704448700E-2
2.599602800E0,-1.861168444E-2,-2.281665802E-2,5.325317383E-2
2.609602800E0,-1.855668426E-2,-2.435636520E-2,6.066799164E-2
2.619602800E0,-4.928602278E-2,-3.623676300E-2,8.528709412E-2
2.629602800E0,-3.946404159E-2,-5.148410797E-2,1.024599075E-1
2.639602800E0,-5.362468958E-2,-4.745340347E-2,1.220598221E-1
2.649602800E0,-4.615122080E-2,-4.588770866E-2,1.033353806E-1
2.659602800E0,-2.705164254E-2,-3.800034523E-2,4.432010651E-2
2.669602800E0,-2.275449038E-2,-3.134059906E-2,6.513595581E-3
2.679602800E0,-3.303107619E-2,-3.875660896E-2,9.485244751E-3
2.689602800E0,-3.359195590E-2,-3.650760651E-2,5.557823181E-2
2.699602800E0,-3.359195590E-2,-3.650760651E-2,5.557823181E-2
2.709602800E0,-3.359195590E-2,-3.650760651E-2,5.557823181E-2
2.719602800E0,-3.359195590E-2,-3.650760651E-2,5.557823181E-2
2.729602800E0,-2.140234411E-2,-2.624368668E-2,2.270975113E-1
2.739602800E0,-2.140234411E-2,-2.624368668E-2,2.270975113E-1
2.749602800E0,-2.140234411E-2,-2.624368668E-2,2.270975113E-1
2.759602800E0,-4.549354315E-3,8.273363113E-3,-5.035591125E-2
2.769602800E0,-1.856401563E-2,1.317119598E-2,-7.121372223E-2
2.779602800E0,-6.001164019E-2,4.878997803E-3,-2.098751068E-2
2.789602800E0,-6.831787527E-2,-4.188537598E-3,2.103290558E-1
2.799602800E0,-4.604309797E-2,-2.846169472E-2,4.031028748E-1
2.809602800E0,-1.686690748E-2,-4.725837708E-2,4.397792816E-1
2.819602800E0,5.504056811E-2,-2.267169952E-2,2.076845169E-1
2.829602800E0,4.980322719E-2,-1.839232445E-2,-5.346584320E-2
2.839602800E0,3.519535810E-2,-1.770997047E-2,-2.352762222E-1
2.849602800E0,4.876911640E-3,-2.945971489E-2,-2.752790451E-1
2.859602800E0,-3.723607957E-2,-7.690310478E-2,5.072307587E-2
2.869602800E0,-2.638199925E-2,-8.622455597E-2,2.628307343E-1
2.879602800E0,1.037505269E-2,-6.602478027E-2,3.667507172E-1
2.889602800E0,1.037505269E-2,-6.602478027E-2,3.667507172E-1
2.899602800E0,5.120718479E-2,2.100729942E-2,7.492828369E-2
2.909602800E0,1.729609072E-2,4.514861107E-2,-1.117706299E-2
2.919602800E0,1.729609072E-2,4.514861107E-2,-1.117706299E-2
2.929602800E0,-3.788416088E-2,4.498243332E-2,5.961513519E-2
2.939602800E0,-1.710145175E-2,2.536964417E-2,1.459836960E-1
2.949602800E0,1.910015941E-3,1.068949699E-2,1.496286392E-1
