"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.107540115E0,2.201681957E-2,-4.243016243E-2,3.737049103E-1,3.767498095E-1
1.115505203E0,5.555480719E-2,-2.180695534E-2,1.908626556E-1,1.999760816E-1
1.123531326E0,4.727366567E-2,-2.054524422E-2,-6.147003174E-2,8.022138946E-2
1.131496414E0,2.256066352E-2,-3.482103348E-2,-2.512311935E-1,2.546342485E-1
1.139492019E0,4.072874784E-3,-3.509640694E-2,-2.800436020E-1,2.822636447E-1
1.147518142E0,-4.138818383E-2,-5.983924866E-2,-1.455526352E-1,1.627245742E-1
1.155544265E0,-3.072855249E-2,-7.884335518E-2,7.298851013E-2,1.117490099E-1
1.163478836E0,-1.256150380E-2,-9.362387657E-2,2.889909744E-1,3.040378347E-1
1.171504959E0,2.411320806E-2,-7.204341888E-2,4.158973694E-1,4.227792839E-1
1.179470047E0,6.029467657E-2,-4.803895950E-2,3.769826889E-1,3.847845337E-1
1.187465652E0,5.584233627E-2,-7.071018219E-3,2.441272736E-1,2.505324161E-1
1.195461258E0,3.995839134E-2,2.124190331E-2,1.134929657E-1,1.221824241E-1
1.203456863E0,5.838133395E-3,5.226683617E-2,2.125740051E-2,5.672550609E-2
1.211421951E0,-3.978537023E-2,8.001756668E-2,-2.509117126E-2,9.281839008E-2
1.219387039E0,-4.502811283E-2,7.871842384E-2,-1.344299316E-2,9.167788862E-2
1.227413162E0,-4.375272244E-2,9.589862823E-2,2.498245239E-2,1.083280691E-1
1.235408767E0,-3.163434565E-2,7.840323448E-2,7.569026947E-2,1.134760587E-1
1.243343338E0,-8.033514023E-4,6.385755539E-2,1.097793579E-1,1.270037014E-1
1.251369461E0,2.242330089E-2,4.447102547E-2,1.270942688E-1,1.365043211E-1
1.259334549E0,2.714154124E-2,1.501369476E-2,1.203432083E-1,1.242761525E-1
1.267330154E0,1.113644242E-2,-1.012277603E-2,1.302366257E-1,1.311032784E-1
1.275325760E0,-1.380293816E-2,-3.352403641E-2,1.399631500E-1,1.445823830E-1
1.283321365E0,-3.124214709E-2,-6.933856010E-2,1.136655807E-1,1.367617341E-1
1.291316971E0,-5.618827790E-2,-8.163475990E-2,1.040143967E-1,1.436675026E-1
1.299312576E0,-6.958215684E-2,-8.935809135E-2,8.472824097E-2,1.414405170E-1
1.307308181E0,-8.350450546E-2,-9.929347038E-2,7.984924316E-2,1.523420406E-1
1.315334305E0,-7.121085376E-2,-8.749532700E-2,9.177780151E-2,1.454289613E-1
1.323268875E0,-4.731845856E-2,-8.999228477E-2,9.893417358E-2,1.418647896E-1
1.331294998E0,-3.761667013E-2,-7.335805893E-2,1.204500198E-1,1.459610426E-1
1.339260086E0,-1.347527653E-2,-7.595419884E-2,1.347637177E-1,1.552800148E-1
1.347255691E0,-1.385793090E-3,-6.653285027E-2,1.466960907E-1,1.610847094E-1
1.355251297E0,8.758753538E-4,-5.509734154E-2,1.274032593E-1,1.388094906E-1
1.363246902E0,1.008351147E-2,-3.893113136E-2,7.936191559E-2,8.896979172E-2
1.371211990E0,4.982866347E-3,-2.278494835E-2,6.004714966E-2,6.441772280E-2
1.379207596E0,4.552915692E-3,-1.865315437E-2,1.484584808E-1,1.496949890E-1
1.387203201E0,-1.037555933E-2,-7.418394089E-3,1.722059250E-1,1.726776343E-1
1.395229324E0,-3.796547651E-3,5.986690521E-3,9.773254395E-2,9.798930750E-2
1.403163894E0,-1.648418605E-3,1.479649544E-2,1.852321625E-2,2.376474492E-2
1.411190017E0,5.648843944E-3,1.933979988E-2,-6.923675537E-4,2.015977852E-2
1.419185623E0,1.057042181E-2,-1.130104065E-2,4.731750488E-2,4.978346719E-2
1.427181228E0,1.041915268E-2,-1.779651642E-2,9.537887573E-2,9.758280932E-2
1.435176834E0,2.910743281E-2,-3.159666061E-2,1.434049606E-1,1.497016177E-1
1.443172439E0,3.816480190E-2,-3.605794907E-2,1.602458954E-1,1.686282147E-1
1.451198562E0,3.509326652E-2,-2.895307541E-2,1.123361588E-1,1.211991357E-1
1.459163650E0,1.309519261E-2,-2.411842346E-2,5.967330933E-2,6.568170419E-2
1.467098221E0,-6.064213812E-3,-1.681017876E-2,2.379322052E-2,2.975691754E-2
1.475093826E0,-2.748513222E-2,-1.376867294E-2,2.874946594E-2,4.208967379E-2
1.483119949E0,-2.024561167E-2,4.287242889E-3,7.457542419E-2,7.739353421E-2
1.491115555E0,-2.303928137E-2,1.295161247E-2,1.132640839E-1,1.163069450E-1
1.499111160E0,5.186557770E-3,1.925086975E-2,1.519603729E-1,1.532626873E-1
1.507106765E0,4.652246833E-3,2.990388870E-2,1.498403549E-1,1.528660130E-1
1.515132889E0,1.116988808E-2,1.159310341E-2,1.548433304E-1,1.556779477E-1
1.523067459E0,2.297490463E-2,4.867553711E-3,1.382026672E-1,1.401838669E-1
1.531093582E0,2.779379487E-2,7.250785828E-3,1.214399338E-1,1.247907306E-1
1.539089187E0,2.076121420E-2,-4.588127136E-3,9.513950348E-2,9.748643007E-2
1.547084793E0,1.387174428E-2,-1.979827881E-3,1.023797989E-1,1.033342549E-1
1.555049881E0,4.567123950E-3,-3.292012215E-2,9.045886993E-2,9.637115862E-2
1.563076004E0,2.336136997E-3,-3.256773949E-2,1.073102951E-1,1.121677967E-1
1.571041092E0,-1.676401496E-2,-4.418826103E-2,1.193733215E-1,1.283885684E-1
1.579036697E0,-2.861687541E-2,-4.390096664E-2,1.338138580E-1,1.437093213E-1
1.587001785E0,-4.277233034E-2,-5.572557449E-2,1.218824387E-1,1.406774351E-1
1.595027908E0,-4.249598086E-2,-5.099177361E-2,1.290531158E-1,1.451233133E-1
1.602992996E0,-3.979525715E-2,-4.625201225E-2,1.146774292E-1,1.298992837E-1
1.610988601E0,-4.678528011E-2,-5.116105080E-2,1.098594666E-1,1.299054192E-1
1.618953689E0,-4.664490372E-2,-5.617189407E-2,8.825397491E-2,1.145416641E-1
1.626949295E0,-4.662119597E-2,-5.154490471E-2,8.581829071E-2,1.104318438E-1
1.634944900E0,-4.192493856E-2,-4.455327988E-2,1.001329422E-1,1.173426663E-1
1.642940506E0,-3.483231366E-2,-2.778983116E-2,1.144990921E-1,1.228641806E-1
1.650905594E0,-2.296422422E-2,-2.787327766E-2,1.144762039E-1,1.200378126E-1
1.658901199E0,-2.781545371E-2,-1.843190193E-2,1.240167618E-1,1.284273790E-1
1.666866287E0,-1.825474203E-2,-2.109766006E-2,1.407060623E-1,1.434452608E-1
1.674892410E0,-1.621097326E-3,-1.200842857E-2,1.310014725E-1,1.315606936E-1
1.682826980E0,5.075953901E-3,-2.805709839E-3,9.498786926E-2,9.516476566E-2
1.690853103E0,4.547968507E-3,4.159688950E-3,5.183219910E-2,5.219735523E-2
1.698818191E0,1.084136963E-2,-3.981590271E-4,-1.994037628E-2,2.270049410E-2
1.706783279E0,4.394724965E-4,-2.233266830E-3,-3.416538239E-2,3.424111520E-2
1.714778885E0,4.624299705E-3,-1.770138741E-2,9.261131287E-3,2.050589712E-2
